"Annees" "Mois" "Precipitations"
"1134" 1989 6 53.2
"1135" 1989 7 32.8
"1136" 1989 8 23.8
"1137" 1989 9 53.9
"1138" 1989 10 55.9
"1139" 1989 11 18.5
"1140" 1989 12 80.1
"1141" 1990 1 55.7
"1142" 1990 2 64.7
"1143" 1990 3 9.5
"1144" 1990 4 60.5
"1145" 1990 5 9.2
"1146" 1990 6 55.2
"1147" 1990 7 12.9
"1148" 1990 8 50.6
"1149" 1990 9 54.2
"1150" 1990 10 77.2
"1151" 1990 11 70.2
"1152" 1990 12 66
"1153" 1991 1 53.7
"1154" 1991 2 22.4
"1155" 1991 3 30.1
"1156" 1991 4 53.2
"1157" 1991 5 32.8
"1158" 1991 6 93.4
"1159" 1991 7 120.9
"1160" 1991 8 5.3
"1161" 1991 9 46.9
"1162" 1991 10 47.7
"1163" 1991 11 96.6
"1164" 1991 12 39.6
"1165" 1992 1 19.6
"1166" 1992 2 29.6
"1167" 1992 3 74.3
"1168" 1992 4 60.5
"1169" 1992 5 41.4
"1170" 1992 6 90.6
"1171" 1992 7 60.7
"1172" 1992 8 84.5
"1173" 1992 9 56
"1174" 1992 10 57.6
"1175" 1992 11 59.4
"1176" 1992 12 60.8
"1177" 1993 1 76.8
"1178" 1993 2 22.6
"1179" 1993 3 1.8
"1180" 1993 4 50.9
"1181" 1993 5 54.2
"1182" 1993 6 76
"1183" 1993 7 115.6
"1184" 1993 8 12.2
"1185" 1993 9 103.2
"1186" 1993 10 79.8
"1187" 1993 11 47.2
"1188" 1993 12 156.2
"1189" 1994 1 67.8
"1190" 1994 2 35.6
"1191" 1994 3 63.6
"1192" 1994 4 72
"1193" 1994 5 121
"1194" 1994 6 38.4
"1195" 1994 7 25.2
"1196" 1994 8 43.6
"1197" 1994 9 92.8
"1198" 1994 10 45.6
"1199" 1994 11 26.4
"1200" 1994 12 88.6
"1201" 1995 1 119.8
"1202" 1995 2 77.4
"1203" 1995 3 51.6
"1204" 1995 4 27.4
"1205" 1995 5 25.4
"1206" 1995 6 32
"1207" 1995 7 32.6
"1208" 1995 8 20.2
"1209" 1995 9 89.8
"1210" 1995 10 7.8
"1211" 1995 11 29.6
"1212" 1995 12 48.8
"1213" 1996 1 16
"1214" 1996 2 63.2
"1215" 1996 3 29
"1216" 1996 4 3.2
"1217" 1996 5 89.6
"1218" 1996 6 29.4
"1219" 1996 7 31.4
"1220" 1996 8 116
"1221" 1996 9 47.8
"1222" 1996 10 44.2
"1223" 1996 11 97.4
"1224" 1996 12 28.4
"1225" 1997 1 2.6
"1226" 1997 2 46.2
"1227" 1997 3 21
"1228" 1997 4 13.4
"1229" 1997 5 60.8
"1230" 1997 6 100.6
"1231" 1997 7 45
"1232" 1997 8 50
"1233" 1997 9 8.4
"1234" 1997 10 67.2
"1235" 1997 11 110.4
"1236" 1997 12 48
"1237" 1998 1 71.4
"1238" 1998 2 13
"1239" 1998 3 46.2
"1240" 1998 4 73.2
"1241" 1998 5 27.2
"1242" 1998 6 100.4
"1243" 1998 7 40.4
"1244" 1998 8 42
"1245" 1998 9 93
"1246" 1998 10 109.6
"1247" 1998 11 115
"1248" 1998 12 55.8
"1249" 1999 1 84.4
"1250" 1999 2 53.4
"1251" 1999 3 56
"1252" 1999 4 51.8
"1253" 1999 5 35.6
"1254" 1999 6 66.6
"1255" 1999 7 27.2
"1256" 1999 8 75.4
"1257" 1999 9 51
"1258" 1999 10 51.8
"1259" 1999 11 42.8
"1260" 1999 12 163.4
"1261" 2000 1 29.8
"1262" 2000 2 60.2
"1263" 2000 3 41.2
"1264" 2000 4 60.2
"1265" 2000 5 73.6
"1266" 2000 6 36.2
"1267" 2000 7 130.2
"1268" 2000 8 69.8
"1269" 2000 9 66.8
"1270" 2000 10 116
"1271" 2000 11 95.8
"1272" 2000 12 86.8
"1273" 2001 1 77.8
"1274" 2001 2 45
"1275" 2001 3 112.6
"1276" 2001 4 112.6
"1277" 2001 5 20.6
"1278" 2001 6 63
"1279" 2001 7 89.6
"1280" 2001 8 98
"1281" 2001 9 32.8
"1282" 2001 10 50.6
"1283" 2001 11 104
"1284" 2001 12 100
"1285" 2002 1 34.2
"1286" 2002 2 80.4
"1287" 2002 3 64.6
"1288" 2002 4 21.4
"1289" 2002 5 75.2
"1290" 2002 6 63
"1291" 2002 7 89.6
"1292" 2002 8 98
"1293" 2002 9 32.8
"1294" 2002 10 50.6
"1295" 2002 11 104
"1296" 2002 12 100
